=== source: childes_uk ===

-- Conversation 020203::4 (2456 lemmas, speakers: CHI, DAD, MOT) --
  *CHI:	a biscuit .
  *MOT:	a dump truck .
  *MOT:	a cement mix .
  *MOT:	a bulldoze .
  *MOT:	a dig and a refuse lorry .
  *MOT:	what thing .
  *MOT:	and we have get some more picture book here .
  *MOT:	look .
  *MOT:	end have not we .
  *MOT:	yes .
  *CHI:	lady up .
  *MOT:	be the lady be tow .
  *MOT:	tow in her car .
  *CHI:	a no no .
  *MOT:	can you see this picture book .
  *MOT:	this be in the city .
  *MOT:	thing you might see in the city .
  *MOT:	there be a bus and a taxi and a police car and a station with a train and car and a van .
  *CHI:	a truck a man a door oh dear .
  *CHI:	truck .
  *MOT:	look at this .
  *MOT:	this be a picture of a street .
  *MOT:	a ambulance .
  *MOT:	when we be come back from stockport a few minute ago with daddy in the car do you remember the ambulance drive past us .
  *CHI:	dadda knee .
  *MOT:	you sit on daddy knee and have some for tea .
  *MOT:	no it be not for tea .
  *CHI:	ahphsss .
  *MOT:	it be for supper .
  *MOT:	and then we go to sleep end do not we .
  *MOT:	and you sleep most of the night .
  *MOT:	in fact i think it be about seven o'clock this morning when you wake up .
  *MOT:	you have be a real good boy stay at your own room .
  *CHI:	chip shop dadda .
  *CHI:	argh the big the bear .
  *MOT:	i do not think we see a big bear cm darling .
  *MOT:	and then this morning we get up .
  *MOT:	we be in a rush rush rush because we be go to the toddle group end be not we .
  *CHI:	beebabeeba .
  *MOT:	it be end be not it .
  *CHI:	a sat bus .
  *MOT:	a green bus .
  *MOT:	look .
  *MOT:	there be a ambulance and a cycle and a lorry .
  *MOT:	what be in the back of the lorry .
  *CHI:	a step .
  *MOT:	step .
  *MOT:	it be a ladder .
  *MOT:	and a police car .
  *MOT:	oh a roll .
  *MOT:	we have not get a roll end have we .
  *MOT:	on the video you like to watch .
  *MOT:	he have a roll call ronnie end do not he .
  *MOT:	and a dig .
  *MOT:	the car .
  *MOT:	and .
  *MOT:	a drive .
  *MOT:	what be that .
  *MOT:	fire engine .
  *MOT:	and what have the fire engine get on the roof .
  *CHI:	no .
  *MOT:	more step .
  *MOT:	and a trailer a taxi and a bus .
  *MOT:	all those thing you might see in the street .
  *MOT:	this be another book .
  *MOT:	and this show thing that move .
  *MOT:	and look at these thing .
  *MOT:	that be a cycle .
  *MOT:	a dig .
  *MOT:	a scooter .
  *MOT:	what can you see .
  *CHI:	a choo .
  *MOT:	a train .
  *MOT:	it be a line with a train run along it .
  *CHI:	what be this .
  *MOT:	now you tell me what that be because you know what that be .
  *MOT:	what be it .
  *CHI:	what be this .
  *MOT:	and you know what that be as well .
  *MOT:	that be a fire engine .
  *MOT:	and what be this .
  *CHI:	what be this .
  *MOT:	what be this .
  *MOT:	what be this cm thomas .
  *CHI:	what be this .
  *MOT:	it be a bulldoze .
  *CHI:	a this .
  *MOT:	a submarine .
  *MOT:	i do not think you have come across a submarine before end have you .
  *CHI:	oh no .
  *MOT:	there be a ambulance a police car and a fire engine .
  *MOT:	and at the you be at the at the with grandma and granddad .
  *CHI:	what be this .
  *MOT:	that be a balloon .
  *MOT:	a hot air balloon .
  *MOT:	do you remember look at balloon in the sky .
  *CHI:	a more balloon .
  *MOT:	more balloon .
  *MOT:	yes .
  *MOT:	those be parachute .
  *MOT:	person in parachute come aeroplane and they keep hold and they glide down from the sky .
  *MOT:	where be the cycle .
  *CHI:	scooter .
  *MOT:	scooter .
  *MOT:	that be like po scooter end be not it .
  *MOT:	the dump truck .
  *CHI:	beep beep .
  *CHI:	oh a bus .
  *CHI:	oh a bus .
  *MOT:	where be the bus .
  *CHI:	a truck there a bus .
  *MOT:	oh i see .
  *MOT:	you have put the bus in the back of the tractor end have you .
  *MOT:	you have get thing that move end have not you .
  *MOT:	they either fly in the sky like this helicopter and the aeroplane over there fly in the sky .
  *MOT:	or they go on they go on the ground end do not they .
  *MOT:	some go in water like boat and some go on line .
  *MOT:	the train .
  *MOT:	but the car and the buss and the lorry all go on the road .
  *MOT:	they have get wheel .
  *CHI:	the bus .
  *MOT:	be wheel round .
  *CHI:	beep beep .
  *CHI:	two man .
  *MOT:	two man .
  *MOT:	now where do you think those man belong .
  *MOT:	which vehicle do those man belong .
  *CHI:	hm .
  *CHI:	truck a chair a knee .
  *MOT:	oh you be sit one of the man on mummys knee end be you .
  *MOT:	well i be sit on the chair just have a little rest .
  *CHI:	oh no .
  *CHI:	oh poor .
  *MOT:	poor .
  *MOT:	oh do you think mummy be poor .
  *CHI:	dadda a poor .
  *MOT:	oh mummy have get a cold end have not she .
  *CHI:	oh poor .
  *MOT:	oh i be glad you think it be poor .
  *MOT:	i think it be just me feel sorry for myself .
  *MOT:	i be glad you feel sorry for me as well .
  *CHI:	what be this .
  *MOT:	what be what cm poppet .
  *CHI:	more .
  *MOT:	a .
  *CHI:	balloon .
  *MOT:	and a balloon .
  *MOT:	you want to look at this with me and tell me what you can see .
  *CHI:	what be this .
  *MOT:	it be a telephone .
  *MOT:	you talk you be talk on the telephone .
  *MOT:	what do you say to sue and jo when they ring up .
  *CHI:	no .
  *CHI:	hello a chip yes .
  *CHI:	chip huh huh a chip .
  *MOT:	you talk to them about chip do you .
  *MOT:	and you laugh a lot .
  *CHI:	a sue .
  *MOT:	can you see sue car .
  *CHI:	a sue a truck .
  *MOT:	no .
  *MOT:	the truck be at sue house yesterday end be not it .
  *MOT:	collect all the rubbish bag .
  *CHI:	oh no .
  *MOT:	but the truck be not there now end be it .
  *CHI:	oh no .
  *MOT:	so what do you say when you be talk on the telephone to sue and jo .
  *CHI:	a shop .
  *CHI:	mm .
  *MOT:	yeah .
  *CHI:	truck .
  *CHI:	hm .
  *CHI:	a yellow truck .
  *MOT:	hm .
  *MOT:	no truck today end be there .
  *CHI:	no .
  *MOT:	no truck .
  *CHI:	oh no no no no .
  *CHI:	no truck .
  *CHI:	oh no .
  *CHI:	no a truck .
  *CHI:	no truck .
  *MOT:	no truck .
  *CHI:	ah .
  *CHI:	no truck .
  *CHI:	no truck .
  *MOT:	no .
  *MOT:	you see some buss in stockport end do not you .
  *MOT:	and some taxi .
  *CHI:	two mum .
  *MOT:	that be right .
  *MOT:	two mumm .
  *MOT:	there be two car drive past .
  *CHI:	choc a bag a nana .
  *MOT:	a bag nana .
  *MOT:	what bring that on .
  *MOT:	you be think about nana come tomorrow .
  *MOT:	you think she will have some chocolate in her bag when she come .
  *MOT:	it be a bit cheek of you if you ask her when she arrive end be not it .
  *CHI:	oh .
  *CHI:	no truck .
  *MOT:	no truck .
  *MOT:	no .
  *MOT:	there be not any truck .
  *MOT:	it be tuesday today and the lorry only come on monday end do not it .
  *CHI:	no no .
  *CHI:	sue truck .
  *CHI:	sat a truck .
  *CHI:	beep beep .
  *MOT:	beep beep .
  *MOT:	be that what the truck say .
  *MOT:	beep beep .
  *CHI:	hm .
  *CHI:	truck .
  *CHI:	where have truck go .
  *MOT:	yes .
  *CHI:	where have truck go .
  *MOT:	where have the truck go .
  *CHI:	a truck go .
  *CHI:	where have the bow go .
  *MOT:	where have the bow go .
  *MOT:	where have purdie go .
  *CHI:	ahphsss .
  *MOT:	and where have daddy go .
  *MOT:	daddy have go out end have not he .
  *CHI:	hm .
  *MOT:	do we see jo and becky .
  *CHI:	a bus .
  *MOT:	oh i see .
  *MOT:	you be say a bus a bus a bus and do the motion for the the song .
  *MOT:	we sing end do not we .
  *CHI:	swishswishswish .
  *MOT:	swishswishswish .
  *MOT:	be that what the wipe on the bus say .
  *CHI:	beep beep .
  *MOT:	be that what the horn say .
  *MOT:	and come home you pick up some stick end do not you .
  *MOT:	and some grass .
  *MOT:	actual cm daddy cm there be a piece of grass for you .
  *CHI:	where dadda go .
  *MOT:	daddy drop us off at home and now he have go somewhere else in the car .
  *CHI:	a tea .
  *MOT:	tea .
  *MOT:	well yes mummy still have not drink her tea .
  *CHI:	oh no .
  *CHI:	where the .
  *MOT:	mummy just spill some tea on her shirt end do not she .
  *MOT:	and then i put the tea down while i clean it up and forget to do anything else with it .
  *CHI:	a juice do .
  *MOT:	what be the juice do .
  *MOT:	the juice be just sit on the table end be not it .
  *MOT:	wait to be drunk .
  *CHI:	nana granddad .
  *MOT:	yes .
  *CHI:	phrr a juice .
  *MOT:	that be a fun noise .
  *MOT:	what do you mean .
  *MOT:	be that the noise you make when juice be be spill .
  *MOT:	you be say juice everywhere .
  *MOT:	be that what thomas be say .
  *MOT:	blah juice .
  *MOT:	oh what be the matter .
  *MOT:	will you like a cuddle .
  *MOT:	yes .
  *MOT:	thomas will like a cuddle .
  *CHI:	oh oh .
  *CHI:	no watch .
  *MOT:	more watch .
  *CHI:	a b c .
  *CHI:	a b c .
  *CHI:	a b c .
  *MOT:	a b c .
  *CHI:	what be this .
  *MOT:	you be look at a book .
  *MOT:	they be like letter of the alphabet end be not they .
  *CHI:	b c .
  *CHI:	a b .
  *MOT:	can we see a b c on the front of that book .
  *MOT:	i can not see a b c at all .
  *MOT:	it say my first word book .
  *MOT:	i can see a b .
  *MOT:	but i can not see a a or a c .
  *CHI:	c c .
  *CHI:	meow .
  *MOT:	can you see a picture of a pussy cat .
  *MOT:	cat begin with c end do not it .
  *MOT:	for cat .
  *CHI:	a bow .
  *CHI:	the bow go .
  *MOT:	where have the bow go .
  *MOT:	i can not remember whether she be or cm thomas .
  *CHI:	oh no .
  *MOT:	what do you want to show me now cm thomas .
  *MOT:	will you like to share a biscuit with mummy while she drink her tea .
  *MOT:	will you like to come and sit down in here and share this with mummy .
  *CHI:	chair .
  *CHI:	baby chair .
  *CHI:	baby chair .
  *MOT:	baby chair .
  *MOT:	you be sit down in a chair .
  *MOT:	now you have a bite of that .
  *CHI:	jam .
  *MOT:	jam .
  *MOT:	i can not remember say you could have the whole thing .
  *MOT:	we be suppose to be share it end be not we .
  *CHI:	aya .
  *MOT:	yes .
  *MOT:	mm .
  *MOT:	that be quite mess end be not it .
  *CHI:	mess .
  *MOT:	mess .
  *MOT:	hm that be quite mess .
  *CHI:	mm mm .
  *MOT:	do it taste nice .
  *CHI:	mm mm .
  *MOT:	be you enjoy it .
  *CHI:	all do .
  *MOT:	all do .
  *CHI:	see you bye .
  *MOT:	oh bye bye .
  *CHI:	no .
  *CHI:	no no .
  *CHI:	what be this .
  *MOT:	that be tigger .
  *MOT:	the tiger .
  *CHI:	chair .
  *MOT:	be tigger sit on a chair .
  *CHI:	eh biscuit .
  *MOT:	oh tigger be have some biscuit end be he .
  *MOT:	oh that be nice .
  *MOT:	do tigger enjoy that .
  *MOT:	do tigger enjoy that cm thomas .
  *CHI:	hm .
  *CHI:	oh .
  *MOT:	tigger be one of friend end be not he .
  *MOT:	mm that be nice .
  *MOT:	i enjoy that .
  *CHI:	a big bear .
  *CHI:	the bear .
  *CHI:	big bear .
  *CHI:	the bear .
  *CHI:	oh ah .
  *CHI:	a this .
  *CHI:	a this .
  *CHI:	a tractor .
  *MOT:	a tractor .
  *MOT:	what animal can you see in the tractor cm thomas .
  *MOT:	if you have finish with milk will you like to put it in the kitchen please .
  *CHI:	what be this .
  *MOT:	just put the milk in the kitchen please .
  *MOT:	and then tell me what be in the tractor .
  *MOT:	good boy .
  *MOT:	thank you .
  *CHI:	what be this .
  *CHI:	the big bear .
  *MOT:	the big bear .
  *MOT:	you keep talk about big bear .
  *MOT:	thomas you keep talk about big bear .
  *MOT:	oh that make a love crackle end do not it .
  *MOT:	this be .
  *MOT:	if you lift that flap you find the tractor engine .
  *MOT:	look .
  *MOT:	look at all those pipe .
  *CHI:	wow pipe .
  *MOT:	pipe and nail and screw and tube .
  *CHI:	mummmumm .
  *FAT:	oh thank you .
  *MOT:	he carry all the way home .
  *MOT:	you say more stick end do not you .
  *MOT:	more stick because you keep pick up some grass and twig to carry home for daddy .
  *MOT:	daddy be on holiday this week .
  *MOT:	and this when we finish lunch we be go to go into stockport .
  *CHI:	a bus .
  *MOT:	no .
  *MOT:	we be not go on a bus today .
  *MOT:	we be go to car .
  *FAT:	car .
  *MOT:	daddy car .
  *CHI:	dadda car .
  *MOT:	daddy car .
  *MOT:	and mummy be go to the optician be to have her eye sort out .
  *CHI:	mummmumm .
  *CHI:	bag a nana .
  *MOT:	nana and granddad be come tomorrow end be not they .
  *MOT:	to look after you .
  *MOT:	because mummy be on holiday tomorrow and she be not go to work .
  *CHI:	chip shop .
  *MOT:	heh .
  *MOT:	well mummy and daddy both have thing to do so grandma and granddad be come to look after you .
  *MOT:	so mummy and daddy can get on with our job .
  *CHI:	ahphsss nana and dadda ahphsss .
  *MOT:	will you go and see the quack quack when granddad come .
  *CHI:	quack quack .
  *MOT:	you go with grandma and granddad to the duck pond end do not you .
  *MOT:	to see the duck .
  *MOT:	will you like some of mummy bread .
  *CHI:	ugh .
  *MOT:	no .
  *MOT:	no thank you .
  *CHI:	more bread .
  *MOT:	more bread .
  *MOT:	you will like some more .
  *MOT:	there you be .
  *MOT:	you will not get some more bread so you can pull a face when i give it to you .
  *MOT:	watch your juice .
  *MOT:	be care .
  *MOT:	oh thomas .
  *CHI:	juice a bang a juice .
  *MOT:	juice a bang .
  *MOT:	the juice bang the chair when it fall on the floor end do not it .
  *MOT:	oh dear .

-- Conversation 020700::5 (4095 lemmas, speakers: CHI, INV, MOT) --
  *MOT:	you know who that be on the phone cm gail .
  *CHI:	yeah .
  *MOT:	it be elaine .
  *MOT:	you know elaine that granny work with in the shop .
  *CHI:	yeah .
  *MOT:	she might be able to get a po .
  *CHI:	me .
  *MOT:	well .
  *MOT:	i think it will probable be for andy .
  *MOT:	will that be good .
  *CHI:	yeah .
  *MOT:	and then you genmod have one each cm will not you .
  *CHI:	yeah .
  *CHI:	me .
  *CHI:	me .
  *MOT:	you genmod have lala and andy will have po .
  *CHI:	yeah .
  *CHI:	me .
  *MOT:	that will be good for play cm will not it .
  *MOT:	you could have game cm could not you .
  *MOT:	and we have get those squidgy one .
  *MOT:	do not know where they go .
  *MOT:	be they in here .
  *MOT:	no .
  *MOT:	there .
  *MOT:	there .
  *MOT:	good for chew on .
  *CHI:	yeah .
  *MOT:	yeah .
  *MOT:	where do we go this morning .
  *CHI:	park .
  *MOT:	no .
  *MOT:	we have just be to the park now .
  *MOT:	and what be at the park that be new that we be go to have a look at .
  *CHI:	the cycle .
  *MOT:	bicycle .
  *MOT:	and who have to pedal them .
  *CHI:	me .
  *CHI:	and me and you .
  *MOT:	yeah .
  *MOT:	but who do most of the pedal .
  *CHI:	mummy .
  *MOT:	yeah .
  *MOT:	it be hard work cm be not it .
  *MOT:	hard work .
  *MOT:	wear me out .
  *CHI:	i can not pedal .
  *MOT:	you can not real reach .
  *MOT:	mummy have to pedal like mad cm do not she .
  *CHI:	andy .
  *CHI:	put the glass on .
  *CHI:	put the glass on .
  *CHI:	oh cm gail .
  *MOT:	you pull andy too hard then .
  *INV:	oh .
  *INV:	they be too small for me .
  *MOT:	look at mummy in them .
  *MOT:	mummy look absolute ridiculous .
  *CHI:	let us see .
  *CHI:	want put that on .
  *MOT:	look .
  *INV:	oh love .
  *CHI:	put this for mummy .
  *MOT:	what do i look like .
  *CHI:	a pirate .
  *MOT:	a pirate cm do i .
  *CHI:	round your neck .
  *MOT:	round my neck .
  *CHI:	yeah .
  *MOT:	like this .
  *CHI:	yeah .
  *CHI:	like that .
  *MOT:	there .
  *MOT:	do you think i could go to work like that .
  *MOT:	why not .
  *MOT:	do it suit me .
  *CHI:	i want to be a ghost .
  *MOT:	a ghost .
  *MOT:	right .
  *CHI:	i do not want to be eye .
  *MOT:	you do not .
  *MOT:	you do not want to be a what .
  *CHI:	eye .
  *MOT:	a what .
  *CHI:	eye .
  *MOT:	eye .
  *CHI:	no .
  *MOT:	you could be a ghost .
  *CHI:	no .
  *CHI:	not like that .
  *CHI:	like on my head .
  *CHI:	not like that .
  *CHI:	put it on your ghost .
  *CHI:	you be be ghost .
  *MOT:	oh .
  *MOT:	be i very scare .
  *MOT:	oh .
  *CHI:	it be you .
  *MOT:	oh .
  *MOT:	it be me after all .
  *CHI:	andy be monster .
  *CHI:	andy be a monster .
  *MOT:	do not bully him .
  *CHI:	on andy neck .
  *MOT:	i do not think he like it cm darling .
  *MOT:	do he .
  *MOT:	oh dear .
  *MOT:	he be a bit scare cm be not he .
  *CHI:	lala want to be a monster .
  *MOT:	oh .
  *MOT:	oh .
  *MOT:	where be lala go .
  *CHI:	andy want to be a monster .
  *CHI:	grrr .
  *MOT:	no .
  *CHI:	it be go now .
  *CHI:	pop you in .
  *MOT:	what be you do with lala .
  *CHI:	put her to bed .
  *CHI:	put her bed .
  *CHI:	just put her to bed .
  *CHI:	put her to bed .
  *CHI:	put her to bed .
  *MOT:	be she tire .
  *CHI:	need a cushion .
  *MOT:	what do you need .
  *CHI:	cushion .
  *MOT:	right .
  *CHI:	put that underneath her head .
  *MOT:	have she get a nightie on .
  *MOT:	hm .
  *MOT:	her be can go bed .
  *MOT:	be she snore yet .
  *CHI:	yeah .
  *MOT:	oh .
  *MOT:	dipsy go to bed with her .
  *MOT:	that be nice .
  *MOT:	be she fast asleep .
  *CHI:	wrap round .
  *CHI:	just put this round .
  *MOT:	hope that do not wake them up cm do it .
  *CHI:	no .
  *MOT:	be the aerial a bit trick .
  *CHI:	warm .
  *MOT:	be they warm .
  *MOT:	all wrap up in your dress .
  *MOT:	whoops .
  *MOT:	oh dear .
  *MOT:	that will have wake him up .
  *CHI:	hurt my knee there .
  *MOT:	do you .
  *CHI:	yeah .
  *MOT:	oh dear .
  *MOT:	you be at the moment cm be not you .
  *MOT:	always fall .
  *CHI:	him be go to bed now .
  *MOT:	be he .
  *CHI:	yeah .
  *CHI:	it be mummy be now .
  *CHI:	it be mummy be .
  *CHI:	you have to do it cm mummy .
  *MOT:	have i .
  *MOT:	why .
  *CHI:	this scarf .
  *CHI:	it be bit too long .
  *MOT:	be it .
  *MOT:	well .
  *MOT:	spread it out .
  *MOT:	see how long it be .
  *MOT:	see if there be room for to sit in it .
  *MOT:	otherwise you might have to use this shawl cm might not you here cm look .
  *CHI:	no .
  *MOT:	okay .
  *CHI:	no .
  *CHI:	him be monster .
  *MOT:	oh .
  *MOT:	oh dear .
  *MOT:	what be you do .
  *MOT:	all my will have come off on there now .
  *MOT:	have it .
  *CHI:	no .
  *CHI:	it do not .
  *MOT:	oh .
  *MOT:	that be luck .
  *CHI:	it be him .
  *CHI:	you want to be monster .
  *MOT:	do i .
  *CHI:	yeah .
  *CHI:	i do not want to be frighten .
  *MOT:	you do not want to be frighten .
  *CHI:	mummy .
  *MOT:	hm .
  *CHI:	put this on your head .
  *CHI:	i do not want to be frighten .
  *MOT:	well .
  *MOT:	do not be frighten then .
  *MOT:	i have be a monster .
  *MOT:	back to normal now .
  *CHI:	be a monster .
  *MOT:	well .
  *MOT:	there be no point if you be not look .
  *MOT:	oh .
  *CHI:	him monster cm mummy .
  *CHI:	him be want to be a monster .
  *MOT:	oh .
  *MOT:	he be a scare cm be not he .
  *MOT:	oh .
  *MOT:	oh .
  *MOT:	do not what be you do .
  *MOT:	what be you do .
  *MOT:	do not .
  *MOT:	be nice cm madam .
  *MOT:	otherwise i will do it to you .
  *CHI:	you .
  *CHI:	i get it off .
  *MOT:	oh .
  *CHI:	i put this on .
  *CHI:	be monster .
  *CHI:	andy be a monster .
  *CHI:	andy be a monster .
  *MOT:	oh .
  *CHI:	no .
  *CHI:	no .
  *CHI:	leave it on .
  *MOT:	i be not sure he like it cm do he .
  *CHI:	yeah .
  *CHI:	do not take it off .
  *CHI:	go .
  *MOT:	take it off .
  *MOT:	take it off .
  *MOT:	take it off .
  *MOT:	good girl .
  *CHI:	andy need a doctor .
  *CHI:	put it on your head now .
  *MOT:	what .
  *CHI:	put this on your head .
  *MOT:	why .
  *CHI:	lie on it .
  *MOT:	be i go to sleep .
  *CHI:	no .
  *MOT:	oh .
  *MOT:	why not .
  *CHI:	light be not off .
  *MOT:	the light be not off .
  *CHI:	i take your off .
  *MOT:	be it all smudge .
  *MOT:	be it .
  *MOT:	where from .
  *CHI:	i get it .
  *MOT:	oh no .
  *MOT:	wait .
  *MOT:	wait .
  *MOT:	wait .
  *CHI:	you want to be a monster .
  *INV:	pardon .
  *CHI:	you want to be a monster .
  *MOT:	oh .
  *MOT:	hey .
  *MOT:	you be get a po cm gail .
  *MOT:	be that good .
  *MOT:	for andy .
  *MOT:	be super cm will not it .
  *INV:	can not real see .
  *MOT:	caroline be mean to be write cm darling .
  *INV:	smell nice though .
  *CHI:	andy want to .
  *CHI:	you want to be a monster .
  *MOT:	let us smell .
  *CHI:	tie some round your arm .
  *MOT:	oh .
  *MOT:	what be happen to my arm .
  *MOT:	oh dear .
  *MOT:	something be happen to it .
  *MOT:	it be go all sort of flop cm have not it .
  *MOT:	oh dear .
  *CHI:	no .
  *MOT:	go very flop .
  *MOT:	yeah .
  *MOT:	i think it need mend .
  *CHI:	no .
  *MOT:	help .
  *MOT:	help .
  *MOT:	what happen if you let go of it .
  *MOT:	oh dear .
  *MOT:	oh dear .
  *MOT:	need a bandage on it i think .
  *CHI:	on your on there .
  *CHI:	on there cm mummy .
  *MOT:	it be a terrible affliction .
  *MOT:	what do you think it be .
  *MOT:	can you say affliction .
  *MOT:	do not think we genmod pass the society cm will we .
  *MOT:	oh .
  *MOT:	it be stick up there now .
  *MOT:	oh dear .
  *MOT:	oh dear .
  *MOT:	quick .
  *MOT:	push it back up .
  *MOT:	oh .
  *MOT:	what happen .
  *MOT:	help .
  *MOT:	push .
  *MOT:	push .
  *MOT:	oh .
  *CHI:	i can pedal .
  *CHI:	i can pedal round .
  *MOT:	can you .
  *CHI:	yeah .
  *CHI:	pedal round .
  *MOT:	oh .
  *CHI:	pedal .
  *MOT:	do it make you puff .
  *CHI:	no .
  *MOT:	no .
  *CHI:	like that .
  *MOT:	oh right .
  *MOT:	what else do you go on .
  *MOT:	swing .
  *MOT:	you go andy cm do not you .
  *MOT:	and i be try to get you to go it on your own .
  *MOT:	you put your leg out when you go up .
  *MOT:	and in when you come down .
  *MOT:	do not you .
  *MOT:	but you could not get the hang of that .
  *MOT:	and where do we go this morning .
  *MOT:	do you remember .
  *CHI:	on your nose .
  *MOT:	oh no .
  *MOT:	what be wrong with my nose .
  *CHI:	where be my doctor set .
  *MOT:	where be your doctor set .
  *MOT:	have not see it for a while .
  *MOT:	where be it .
  *MOT:	no .
  *MOT:	it be not in there .
  *MOT:	definite not in there .
  *MOT:	because i sort that the other day .
  *MOT:	be it in the .
  *CHI:	yeah .
  *MOT:	well .
  *MOT:	shall we wait until the tape be click .
  *MOT:	go and have a look .
  *MOT:	see how it be do .
  *MOT:	how be it do .
  *MOT:	oh cm andy .
  *MOT:	sick .
  *MOT:	oh .
  *MOT:	dear .
  *MOT:	he be a sick boy today .
  *MOT:	wonder why that be .
  *MOT:	yuck .
  *CHI:	this be car not work .
  *CHI:	gail one be not work .
  *MOT:	why be it not work .
  *MOT:	what do you think be the matter .
  *MOT:	what do you think might be the matter .
  *CHI:	broke .
  *MOT:	oh .
  *CHI:	have open it .
  *MOT:	but why do you think it be break .
  *CHI:	you have to open it .
  *CHI:	have to open it cm mummy .
  *MOT:	what be i look for .
  *CHI:	it be break .
  *MOT:	what be i look for then .
  *MOT:	why will i open it .
  *CHI:	it be get battery in it .
  *MOT:	oh .
  *CHI:	mummmy .
  *MOT:	oh .
  *CHI:	do it again .
  *MOT:	no .
  *MOT:	let it come towards andy .
  *MOT:	it come towards andy .
  *MOT:	we buy you that to help your crawl but you be crawl before we genmod even .
  *MOT:	might be a good idea for andy to help him learn to crawl .
  *MOT:	go on .
  *MOT:	catch it cm andy .
  *MOT:	catch it .
  *MOT:	let him catch it .
  *MOT:	why not .
  *CHI:	it be mine .
  *MOT:	i know .
  *MOT:	but it might be fun to let him catch it .
  *MOT:	that be too far away .
  *MOT:	he will never get that cm will he .
  *MOT:	put it just between his leg and watch him try and get it .
  *MOT:	it will be fun .
  *MOT:	yeah .
  *MOT:	make it .
  *CHI:	he be get it .
  *MOT:	if you make it go away from him .
  *MOT:	oh .
  *MOT:	can not hold it tight enough cm can you .
  *INV:	tie a knot in it .
  *MOT:	shall we tie a knot in it .
  *CHI:	no .
  *MOT:	no .
  *CHI:	do it again .
  *MOT:	go wrong .
  *CHI:	let me hold it .
  *MOT:	you have a go .
  *MOT:	you be hope .
  *MOT:	can not you get it tight enough .
  *CHI:	do that again .
  *MOT:	oh dear .
  *CHI:	where be your cup of tea .
  *CHI:	where be your cup of tea cm mummy .
  *INV:	it be up there .
  *MOT:	let us see if andy can hold it .
  *MOT:	let andy hold it .
  *MOT:	see what happen .
  *CHI:	no .
  *CHI:	i want to hold it .
  *MOT:	hold it tight .
  *MOT:	tight .
  *CHI:	no .
  *MOT:	oh .
  *INV:	you have to let it go so it fly round the room .
  *MOT:	shall .
  *CHI:	fly round the room .
  *MOT:	shall we let it fly around .
  *CHI:	yeah .
  *MOT:	fly .
  *MOT:	fly .
  *MOT:	oh .
  *CHI:	again .
  *MOT:	shall we see if andy can hold it this time .
  *CHI:	yeah .
  *CHI:	you be go to hold it this time .
  *MOT:	right cm andy .
  *MOT:	two hand .
  *MOT:	right .
  *MOT:	this will be fun .
  *MOT:	you watch then .
  *MOT:	ready .
  *MOT:	ready .
  *MOT:	you ready .
  *MOT:	oh .
  *MOT:	what happen there .
  *CHI:	my turn this time .
  *CHI:	my turn this time .
  *CHI:	i hold it this time .
  *MOT:	oh .
  *CHI:	oh .
  *CHI:	want to hold it .
  *CHI:	i want to hold it .
  *MOT:	last time .
  *MOT:	okay .
  *CHI:	yeah .
  *CHI:	i hold .
  *MOT:	right .
  *MOT:	it be go all sag .
  *MOT:	mummy be go to have her tea now .
  *CHI:	you want to blow it .
  *INV:	well .
  *INV:	i be drink my coffee .
  *MOT:	it will be nice to go to anne be christen .
  *MOT:	do you think they will put some water on her head .
  *CHI:	yeah .
  *CHI:	her will maybe cry .
  *MOT:	maybe .
  *MOT:	yeah .
  *CHI:	you got to put her clothes on .
  *INV:	go on then .
  *INV:	i think you be big enough to do it now .
  *CHI:	no .
  *INV:	oh .
  *INV:	well .
  *INV:	i be drink my coffee .
  *INV:	i be go to watch you do it .
  *CHI:	no .
  *INV:	i know you can do it now .
  *CHI:	okay .
  *INV:	good girl .
  *INV:	that be it .
  *INV:	turn it the right way out .
  *CHI:	i can not do it this time .
  *INV:	yeah .
  *INV:	you can .
  *INV:	look .
  *INV:	put her leg in first .
  *INV:	right .
  *CHI:	yeah .
  *INV:	go on then .
  *INV:	find the top end .
  *CHI:	this way it be .
  *INV:	i do not think so .
  *CHI:	that be it be .
  *INV:	find the top end .
  *INV:	like that .
  *INV:	hold it like that .
  *INV:	that be it .
  *INV:	and then you put her arm in .
  *CHI:	yeah .
  *INV:	go on then .
  *INV:	can you do that .
  *INV:	push it up her arm .
  *CHI:	i do it .
  *MOT:	all on your own cm do you .
  *INV:	well .
  *INV:	with a bit of help .
  *INV:	that be it .
  *INV:	no .
  *INV:	that be actual right .
  *INV:	yes .
  *INV:	well .
  *INV:	you have get the other one a bit wrong .
  *INV:	right .
  *INV:	that be it .
  *INV:	go on then .
  *INV:	put it on .
  *INV:	pull it up .
  *INV:	pull her sleeve up .
  *CHI:	oh .
  *CHI:	i can not do it .
  *INV:	no .
  *INV:	yes .
  *INV:	you can .
  *INV:	get hold her and pull .
  *INV:	you have do it .
  *INV:	you have do it .
  *INV:	you want to stand her up now and do her up at the back .
  *CHI:	yeah .
  *MOT:	can you manage it .
  *MOT:	have you .
  *CHI:	i do silly .
  *MOT:	you be what .
  *CHI:	hooray .
  *CHI:	i do it .
  *INV:	and that one .
  *INV:	and that one .
  *INV:	that be it .
  *INV:	stand her up and pull her dress down .
  *INV:	there .
  *INV:	that be it .
  *INV:	no .
